Wall time,Step,Value
1663621453.397169,75,201.5
1663621966.671652,150,200.75
1663622764.283181,225,201.0
1663623340.87409,300,200.10000610351562
1663624182.085567,375,202.89999389648438
1663624770.428626,450,203.89999389648438
1663625631.932435,525,200.3000030517578
1663626207.511212,600,198.0
1663627063.551514,675,200.6999969482422
1663627658.610004,750,202.0
1663628465.403015,825,198.60000610351562
1663629056.270537,900,199.60000610351562
1663629892.476832,975,200.8000030517578
1663630330.419115,1050,183.60000610351562
