Wall time,Step,Value
1663594199.066624,75,201.5
1663595361.835775,150,201.0
1663596719.072606,225,200.0
1663597634.168294,300,199.8000030517578
1663598954.841728,375,199.60000610351562
1663599931.663961,450,203.1999969482422
1663601400.824437,525,186.0
1663602623.929865,600,182.10000610351562
1663604015.062416,675,181.39999389648438
1663604941.171739,750,180.0
1663606425.50485,825,181.8000030517578
1663607242.606057,900,200.60000610351562
1663608678.820323,975,199.8000030517578
1663609390.191387,1050,200.6999969482422
