Wall time,Step,Value
1663621554.857986,75,201.75
1663622075.252466,150,200.125
1663622810.453621,225,200.60000610351562
1663623350.67931,300,200.1999969482422
1663624085.682461,375,201.1999969482422
1663624627.955978,450,195.8000030517578
1663625358.45312,525,196.6999969482422
1663625944.967119,600,199.3000030517578
1663626726.78561,675,206.39999389648438
1663627286.931463,750,206.3000030517578
1663628006.539301,825,205.6999969482422
1663628523.120606,900,203.1999969482422
1663629264.749528,975,201.8000030517578
1663629834.674037,1050,199.5
