Wall time,Step,Value
1663594094.933147,75,201.5
1663595175.1422,150,199.5
1663596625.325314,225,201.0
1663597526.977963,300,201.3000030517578
1663598790.513609,375,203.10000610351562
1663599666.378011,450,201.10000610351562
1663601099.585428,525,181.89999389648438
1663602365.657131,600,181.3000030517578
1663603914.257064,675,181.3000030517578
1663604851.317155,750,183.8000030517578
1663606258.664871,825,201.1999969482422
1663607185.353787,900,199.5
1663608508.731845,975,199.5
1663609179.732892,1050,183.39999389648438
