Wall time,Step,Value
1663594432.006974,75,201.5
1663595641.436417,150,201.375
1663596916.398325,225,202.10000610351562
1663597876.596141,300,200.60000610351562
1663599330.485821,375,200.89999389648438
1663600262.024307,450,201.8000030517578
1663601961.869784,525,204.3000030517578
1663603252.634479,600,202.60000610351562
1663604604.596073,675,204.1999969482422
1663605483.148156,750,206.10000610351562
1663606942.055192,825,205.5
1663607880.550791,900,200.3000030517578
1663609102.745848,975,198.10000610351562
1663609736.983722,1050,179.10000610351562
