Wall time,Step,Value
1663621453.140706,75,42.5
1663621966.659293,150,43.375
1663622764.268523,225,43.0
1663623340.859536,300,43.0
1663624182.068649,375,42.400001525878906
1663624770.413818,450,41.900001525878906
1663625631.917446,525,42.20000076293945
1663626207.495944,600,42.79999923706055
1663627063.536098,675,41.79999923706055
1663627658.58554,750,40.5
1663628465.387932,825,39.900001525878906
1663629056.254199,900,40.599998474121094
1663629892.461233,975,39.400001525878906
1663630330.407876,1050,38.79999923706055
