Wall time,Step,Value
1663594198.616011,75,42.5
1663595361.797222,150,43.0
1663596719.050517,225,43.20000076293945
1663597634.126221,300,43.099998474121094
1663598954.790819,375,43.20000076293945
1663599931.641297,450,43.099998474121094
1663601400.788847,525,43.599998474121094
1663602623.894557,600,43.20000076293945
1663604014.998481,675,42.29999923706055
1663604941.147708,750,41.099998474121094
1663606425.442619,825,40.29999923706055
1663607242.590912,900,40.29999923706055
1663608678.804235,975,40.400001525878906
1663609390.162352,1050,40.29999923706055
