Wall time,Step,Value
1663621554.511618,75,42.5
1663622075.238235,150,43.625
1663622810.437575,225,43.70000076293945
1663623350.660712,300,43.0
1663624085.667189,375,42.0
1663624627.94133,450,42.400001525878906
1663625358.438561,525,42.70000076293945
1663625944.950757,600,43.400001525878906
1663626726.770767,675,41.900001525878906
1663627286.916267,750,41.20000076293945
1663628006.521449,825,40.0
1663628523.104902,900,39.599998474121094
1663629264.734242,975,39.5
1663629834.659089,1050,38.70000076293945
