Wall time,Step,Value
1663594094.253893,75,42.5
1663595175.095537,150,43.875
1663596625.298377,225,44.400001525878906
1663597526.956673,300,43.20000076293945
1663598790.496868,375,42.0
1663599666.338477,450,41.20000076293945
1663601099.544023,525,42.70000076293945
1663602365.620149,600,43.20000076293945
1663603914.237036,675,42.5
1663604851.287858,750,41.70000076293945
1663606258.638429,825,41.0
1663607185.337147,900,40.79999923706055
1663608508.711755,975,39.70000076293945
1663609179.700135,1050,38.400001525878906
