Wall time,Step,Value
1663594431.322632,75,42.5
1663595641.400651,150,43.25
1663596916.35014,225,43.29999923706055
1663597876.548669,300,43.0
1663599330.44324,375,42.099998474121094
1663600261.9648,450,42.0
1663601961.834134,525,42.099998474121094
1663603252.589497,600,42.599998474121094
1663604604.574588,675,41.400001525878906
1663605483.129055,750,40.900001525878906
1663606941.999347,825,40.79999923706055
1663607880.510802,900,42.5
1663609102.726417,975,41.79999923706055
1663609736.972631,1050,40.900001525878906
