Wall time,Step,Value
1663621453.295004,75,122.25
1663621966.666664,150,127.0
1663622764.277349,225,130.60000610351562
1663623340.868296,300,129.1999969482422
1663624182.079275,375,126.0999984741211
1663624770.42275,450,143.39999389648438
1663625631.926512,525,144.89999389648438
1663626207.50507,600,150.10000610351562
1663627063.545438,675,158.8000030517578
1663627658.602679,750,172.89999389648438
1663628465.396599,825,165.3000030517578
1663629056.264109,900,174.39999389648438
1663629892.470509,975,171.10000610351562
1663630330.414568,1050,150.8000030517578
