Wall time,Step,Value
1663594198.859594,75,124.0
1663595361.821745,150,127.875
1663596719.063217,225,133.6999969482422
1663597634.153442,300,137.89999389648438
1663598954.823714,375,128.5
1663599931.654935,450,138.10000610351562
1663601400.810192,525,139.8000030517578
1663602623.915596,600,150.89999389648438
1663604015.035308,675,152.6999969482422
1663604941.160748,750,146.39999389648438
1663606425.480549,825,152.6999969482422
1663607242.599867,900,163.0
1663608678.813845,975,163.10000610351562
1663609390.18013,1050,148.3000030517578
