Wall time,Step,Value
1663594094.663537,75,122.25
1663595175.125491,150,127.0
1663596625.314333,225,130.60000610351562
1663597526.969451,300,132.10000610351562
1663598790.507287,375,135.10000610351562
1663599666.3621,450,139.60000610351562
1663601099.571496,525,139.60000610351562
1663602365.641527,600,146.0
1663603914.248822,675,144.89999389648438
1663604851.306341,750,160.8000030517578
1663606258.649659,825,175.60000610351562
1663607185.34698,900,181.3000030517578
1663608508.723739,975,167.39999389648438
1663609179.721143,1050,158.10000610351562
