Wall time,Step,Value
1663594431.752514,75,122.25
1663595641.42189,150,125.125
1663596916.376053,225,128.39999389648438
1663597876.57722,300,128.60000610351562
1663599330.472202,375,128.1999969482422
1663600261.996123,450,139.3000030517578
1663601961.855173,525,144.6999969482422
1663603252.61758,600,144.1999969482422
1663604604.587641,675,162.10000610351562
1663605483.140194,750,170.8000030517578
1663606942.034644,825,171.6999969482422
1663607880.534625,900,186.6999969482422
1663609102.738108,975,183.0
1663609736.979173,1050,176.89999389648438
