Wall time,Step,Value
1663621453.34633,75,79.25
1663621966.66903,150,73.75
1663622764.280202,225,70.4000015258789
1663623340.871107,300,70.9000015258789
1663624182.082463,375,76.80000305175781
1663624770.425641,450,60.5
1663625631.929451,525,55.400001525878906
1663626207.507986,600,50.20000076293945
1663627063.548451,675,44.20000076293945
1663627658.606061,750,31.399999618530273
1663628465.400208,825,33.29999923706055
1663629056.267241,900,25.200000762939453
1663629892.473595,975,34.20000076293945
1663630330.416831,1050,38.79999923706055
