Wall time,Step,Value
1663594198.978034,75,77.5
1663595361.829002,150,73.125
1663596719.067853,225,66.30000305175781
1663597634.162092,300,61.900001525878906
1663598954.834269,375,71.0999984741211
1663599931.659373,450,65.0999984741211
1663601400.817143,525,49.20000076293945
1663602623.922586,600,34.20000076293945
1663604015.048757,675,31.700000762939453
1663604941.165605,750,33.599998474121094
1663606425.492598,825,32.099998474121094
1663607242.602865,900,40.599998474121094
1663608678.816961,975,39.79999923706055
1663609390.186083,1050,55.5
