Wall time,Step,Value
1663621554.746267,75,79.5
1663622075.24951,150,73.5
1663622810.450381,225,63.599998474121094
1663623350.675767,300,57.20000076293945
1663624085.679308,375,52.400001525878906
1663624627.953188,450,45.599998474121094
1663625358.45016,525,40.79999923706055
1663625944.963648,600,53.400001525878906
1663626726.782632,675,54.29999923706055
1663627286.928478,750,54.20000076293945
1663628006.535777,825,49.5
1663628523.117212,900,36.5
1663629264.746399,975,25.5
1663629834.670443,1050,2.700000047683716
