Wall time,Step,Value
1663594094.80303,75,79.25
1663595175.134251,150,72.5
1663596625.319787,225,70.4000015258789
1663597526.973635,300,69.19999694824219
1663598790.510421,375,68.0
1663599666.370073,450,61.5
1663601099.578257,525,42.29999923706055
1663602365.649197,600,35.29999923706055
1663603914.252817,675,36.400001525878906
1663604851.312577,750,23.0
1663606258.655273,825,25.600000381469727
1663607185.350213,900,18.899999618530273
1663608508.727346,975,32.79999923706055
1663609179.728428,1050,25.299999237060547
