Wall time,Step,Value
1663594431.882221,75,79.25
1663595641.428978,150,76.25
1663596916.387406,225,73.69999694824219
1663597876.58465,300,72.0
1663599330.479003,375,72.69999694824219
1663600262.010672,450,62.5
1663601961.862134,525,59.599998474121094
1663603252.625746,600,58.400001525878906
1663604604.591961,675,42.099998474121094
1663605483.143884,750,35.29999923706055
1663606942.047714,825,33.79999923706055
1663607880.542742,900,16.200000762939453
1663609102.741902,975,17.700000762939453
1663609736.981277,1050,3.9000000953674316
